variable,coef,std_err_hac,t_stat,p_value,ci_lower,ci_upper,model
const,-0.6505971240902457,0.9540469150328421,-0.6819340997165213,0.4952806221296173,-2.5204947171161614,1.21930046893567,Crédits à l'habitat (conventional)
policy_rate_pct,0.30986831741718035,0.2609807124595341,1.1873226741429272,0.23510036771521037,-0.20164447966311017,0.8213811144974709,Crédits à l'habitat (conventional)
log_ipai_diff,8.845399233508484,10.152518183486745,0.8712517499250272,0.3836167093413626,-11.053170758513549,28.743969225530517,Crédits à l'habitat (conventional)
trend,-0.0024117057685886273,0.012977576847497712,-0.18583636968049574,0.8525730824129149,-0.027847288996284997,0.023023877459107743,Crédits à l'habitat (conventional)
