variable,coef,std_err_hac,t_stat,p_value,ci_lower,ci_upper,model
const,0.035251834848291204,0.06231824030071125,0.5656744265914208,0.5716151228961542,-0.08688967172101539,0.1573933414175978,Murabaha immobilière
policy_rate_pct,0.003293729652502229,0.016496620298851235,0.19966087555107226,0.8417458143875203,-0.02903905199987858,0.035626511304883035,Murabaha immobilière
log_ipai_diff,-0.09110468857824851,0.2895471185826088,-0.3146454678058073,0.7530308529297906,-0.65860661282751,0.476397235671013,Murabaha immobilière
log_credit_hab_diff,-0.0010057057995758534,0.0008624188566921263,-1.1661454196784555,0.24355565559498393,-0.002696015698280631,0.0006846040991289244,Murabaha immobilière
trend,-0.0004683495922498279,0.000576517661688603,-0.8123768331364661,0.4165754353396949,-0.0015983034456107372,0.0006616042611110813,Murabaha immobilière
