variable,Murabaha immobilière,Murabaha SE (HAC),Murabaha p,Conventional,Conventional SE (HAC),Conventional p
const,0.035251834848291204,0.06231824030071125,0.5716151228961542,-0.6505971240902457,0.9540469150328421,0.4952806221296173
log_credit_hab_diff,-0.0010057057995758534,0.0008624188566921263,0.24355565559498393,,,
log_ipai_diff,-0.09110468857824851,0.2895471185826088,0.7530308529297906,8.845399233508484,10.152518183486745,0.3836167093413626
policy_rate_pct,0.003293729652502229,0.016496620298851235,0.8417458143875203,0.30986831741718035,0.2609807124595341,0.23510036771521037
trend,-0.0004683495922498279,0.000576517661688603,0.4165754353396949,-0.0024117057685886273,0.012977576847497712,0.8525730824129149
