lag,AIC,BIC,HQIC
1,-17.26204229309572,-16.8671719732048,-17.10579111987201
2,-17.443514212904557,-16.746805885896148,-17.16821163922497
3,-17.46218863749979,-16.458625282163343,-17.066218558271522
4,-17.694640284956332,-16.37907090603403,-17.176371053793545
5,-17.967916231358508,-16.335051677917342,-17.325702621288173
6,-18.41357923863317,-16.45798794915623,-17.645764760543575
7,-18.21667336745497,-15.932777055398603,-17.321592998757897
8,-18.95401450413792,-16.336083801360296,-17.92999788806554
