date,murabaha_immobiliere_kDH,murabaha_total_kDH,murabaha_hors_marges_kDH,murabaha_immobiliere_hors_marges_kDH,murabaha_automobile_kDH,murabaha_equipement_kDH,murabaha_matieres_premieres_kDH,depot_vue_kDH,depot_investissement_kDH,credit_habitat_MDH,credit_habitat_participatif_MDH,credit_habitat_participatif_flash_MDH,ipai_global,ipai_residentiel,ipai_appartement,ipai_maison,policy_rate_pct,lending_rate_credits_immobiliers_pct,lending_rate_global_pct,lending_rate_credits_equipement_pct,lending_rate_credits_consommation_pct,murabaha_immobiliere_growth_yoy_pct,murabaha_total_growth_yoy_pct,credit_habitat_growth_yoy_pct,murabaha_immobiliere_MDH,penetration_murabaha_in_habitat_pct
2019-07-01,4560674.0,7174906.0,5058637.0,,475920.0,43.0,,2055618.0,216.0,,,,112.4639111365775,112.4823421844971,111.9332944635698,112.2289376507451,,,,,,,,,4560.674,
2019-08-01,4701685.0,7440867.0,5258487.0,,532236.0,566.0,,2135573.0,66.0,,,,112.4639111365775,112.4823421844971,111.9332944635698,112.2289376507451,,,,,,,,,4701.685,
2019-09-01,4983121.0,7838303.0,5584276.0,,575049.0,106.0,,2188169.0,300.0,,,,112.4639111365775,112.4823421844971,111.9332944635698,112.2289376507451,2.25,,,,,,,,4983.121,
2019-10-01,5261115.0,8262660.0,5906340.0,,617347.0,877.0,,2317610.0,308.0,,,,112.1617222917488,112.2072052789707,111.6846823157556,111.9412563873981,2.25,,,,,,,,5261.115,
2019-11-01,,,,,,,,,,,,,112.1617222917488,112.2072052789707,111.6846823157556,111.9412563873981,2.25,,,,,,,,,
2019-12-01,8185125.0,9100933.0,,5742805.0,813469.0,339.0,,2556647.0,124.0,,,,112.1617222917488,112.2072052789707,111.6846823157556,111.9412563873981,2.25,,,,,,,,8185.125,
2020-01-01,8450331.0,9439253.0,,5936063.0,885196.0,103726.0,,2590384.0,434711.0,,,,110.9456519562494,111.095375956921,110.6741738050788,110.8564096224497,2.25,,,,,,,,8450.331,
2020-02-01,8665871.0,9696444.0,,6097106.0,915912.0,114661.0,,2681567.0,515316.0,,,,110.9456519562494,111.095375956921,110.6741738050788,110.8564096224497,2.25,,,,,,,,8665.871,
2020-03-01,9037657.0,10087136.0,,6363772.0,941422.0,108057.0,,2641495.0,124547.0,,,,110.9456519562494,111.095375956921,110.6741738050788,110.8564096224497,2.0,,,,,,,,9037.657,
2020-04-01,6366499.0,10073343.0,7256245.0,,788601.0,101145.0,,2661127.0,562867.0,,,,105.9972237583797,105.6953377358645,105.5944009224532,105.0148435668434,2.0,,,,,,,,6366.499,
